Analyist,Gala Year (Release Year) ,box_office,Film name,result,result_coded,Bechdel Test,bechdel,violence,violence_coded,No Easy Data
Ethan,2026 (2025),"212,918,884",One Battle after Another,Winner,1,3/3,3,Moderate,2,
,,"43,514,912",Bugonia,Nominee,0,3/3,3,Severe,3,
,,"634,042,436",F1,Nominee,0,1/3,1,Mild,1,
,,"144,496",Frankenstein,Nominee,0,1/3,1,Severe,3,Bechdel Test webstie N/A--3 named female characters that never talk to each other
,,"106,361,688",Hamnet,Nominee,0,3/3,3,Mild,1,
,,"180,177,244",Marty Supreme,Nominee,0,2/3,2,Moderate,2,
,,"19,204,269",The Secret Agent,Nominee,0,3/3,3,Severe,3,
,,"23,392,972",Sentimental Value,Nominee,0,3/3,3,Mild,1,
,,"370,233,701",Sinners,Nominee,0,3/3,3,Severe,3,
,,,Train Dreams,Nominee,0,1/3,1,Mild,1,
Kami,2025 (2024),"57,395,612",Anora,Winner,1,3/3,3,Mild,1,
,,"50,450,120",The Brutalist,Nominee,0,2/3,2,Moderate,2,
,,"140,508,652",A Complete Unknown,Nominee,0,1/3,1,Mild,1,
,,"127,848,258",Conclave,Nominee,0,1/3,1,Mild,1,
,,"714,844,358",Dune: Part Two,Nominee,0,3/3,3,Moderate,2,No script available 
,,"16,317,120",Emilia Pérez,Nominee,0,3/3,3,Moderate,2,
,,"36,425,634",I'm Still Here,Nominee,0,3/3,3,Mild,1,
,,"3,016,380",Nickel Boys,Nominee,0,2/3,2,Moderate,2,
,,"77,316,812",The Substance,Nominee,0,3/3,3,Severe,3,
,,"758,790,057",Wicked,Nominee,0,3/3,3,Mild,1,
Kami,2024 (2023),"975,811,333",Oppenheimer,Winner,1,2/3,2,Mild,1,
,,"22,483,370",American Fiction,Nominee,0,1/3,1,Mild,1,
,,"36,046,727",Anatomy of a Fall,Nominee,0,3/3,3,Mild,1,
,,"1,447,138,421",Barbie,Nominee,0,3/3,3,None,0,
,,"48,822,847",The Holdovers,Nominee,0,3/3,3,None,0,
,,"158,772,599",Killers of the Flower Moon,Nominee,0,3/3,3,Severe,3,
,,"383,532",Maestro,Nominee,0,3/3,3,None,0,
,,"42,748,888",Past Lives,Nominee,0,3/3,3,None,0,
,,"117,625,455",Poor Things,Nominee,0,3/3,3,Severe,3,
,,"52,693,249",The Zone of Interest,Nominee,0,3/3,3,Mild,1,
Esther,2023 (2022),"147,946,670",Everything Everywhere All at Once,Winner,1,3/3,3,Moderate,2,
,,,All Quiet on the Western Front,Nominee,0,0/3,0,Severe,3,
,,"2,334,484,620",Avatar: The Way of Water,Nominee,0,3/3,3,Moderate,2,
,,"50,250,625",The Banshees of Inisherin,Nominee,0,3/3,3,Moderate,2,
,,"288,670,284",Elvis,Nominee,0,1/3,1,None,0,
,,"45,614,213",The Fabelmans,Nominee,0,2/3,2,Mild,1,
,,"29,177,163",Tár,Nominee,0,3/3,3,Mild,1,
,,"1,503,997,086",Top Gun: Maverick,Nominee,0,3/3,3,Mild,1,
,,"26,195,743",Triangle of Sadness,Nominee,0,3/3,3,Moderate,2,
,,"9,276,103",Women Talking,Nominee,0,3/3,3,Moderate,2,
Esther,2022 (2021),"1,905,058",CODA,Winner,1,3/3,3,None,0,
,,"49,158,709",Belfast,Nominee,0,1/3,1,Mild,1,
,,"791,863",Don't Look Up,Nominee,0,3/3,3,Mild,1,
,,"15,355,152",Drive My Car,Nominee,0,3/3,3,None,0,
,,"410,668,500",Dune,Nominee,0,3/3,3,Moderate,2,
,,"39,529,285",King Richard,Nominee,0,3/3,3,Moderate,2,
,,"33,276,075",Licorice Pizza,Nominee,0,3/3,3,None,0,
,,"39,629,195",Nightmare Alley,Nominee,0,1/3,1,Severe,3,
,,"271,009",The Power of the Dog,Nominee,0,0/3,0,Moderate,2,
,,"76,016,171",West Side Story,Nominee,0,3/3,3,Moderate,2,
Ethan,2021 (2020),"39,458,207",Nomadland,Winner,1,3/3,3,None,0,
,,"24,048,935",The Father,Nominee,0,2/3,2,Mild,1,Bechdel Test website N/A--2 named female characters always talking about a male character
,,"7,478,009",Judas and the Black Messiah,Nominee,0,2/3,2,Moderate,2,
,,,Mank,Nominee,0,1/3,1,Mild,1,
,,"15,281,324",Minari,Nominee,0,3/3,3,None,0,
,,"18,854,166",Promising Young Woman,Nominee,0,3/3,3,Moderate,2,
,,"516,520",Sound of Metal,Nominee,0,1/3,1,Mild,1,
,,,The Trial of the Chicago 7,Nominee,0,1/3,1,Moderate,2,
Ethan,2020 (2019),"263,056,619",Parasite,Winner,1,3/3,3,Severe,3,Bechdel Test website N/A--2 named female characters talk about plum juice
,,"226,299,480",Ford v Ferrari,Nominee,0,0/3,0,Mild,1,
,,"968,853",The Irishman,Nominee,0,1/3,1,Severe,3,
,,"93,598,180",Jojo Rabbit,Nominee,0,3/3,3,Mild,1,
,,"1,078,958,629",Joker,Nominee,0,3/3,3,Severe,3,
,,"220,102,679",Little Women,Nominee,0,3/3,3,None,0,
,,"333,686",Marriage Story,Nominee,0,2/3,2,Mild,1,
,,"446,064,352","""1917""",Nominee,0,0/3,0,Severe,3,
,,"393,869,691",Once upon a Time...in Hollywood,Nominee,0,3/3,3,Severe,3,
